t,size,num_tokens,accuracy,cross_entropy,l2_distance
0,256,12800000,0.002075,9.263049,1.515902
1,256,12800000,0.391927,2.908630,0.372692
2,256,12800000,0.380207,2.960920,0.381303
3,256,12800000,0.368612,3.012904,0.389881
4,256,12800000,0.357384,3.065190,0.398329
5,256,12800000,0.346247,3.117257,0.406894
6,256,12800000,0.335263,3.169662,0.415508
7,256,12800000,0.324568,3.222288,0.424020
8,256,12800000,0.313974,3.275390,0.432604
9,256,12800000,0.303774,3.328448,0.441084
10,256,12800000,0.293625,3.381439,0.449700
11,256,12800000,0.284033,3.434995,0.458010
12,256,12800000,0.274525,3.488471,0.466459
13,256,12800000,0.265285,3.542433,0.474811
14,256,12800000,0.256305,3.596361,0.483190
15,256,12800000,0.247667,3.650227,0.491486
16,256,12800000,0.239237,3.704787,0.499739
17,256,12800000,0.230960,3.759494,0.508026
18,256,12800000,0.223011,3.813979,0.516264
19,256,12800000,0.215349,3.868661,0.524389
20,256,12800000,0.207938,3.923293,0.532493
21,256,12800000,0.200909,3.977685,0.540584
22,256,12800000,0.194095,4.032020,0.548529
23,256,12800000,0.187548,4.086608,0.556397
24,256,12800000,0.181214,4.140905,0.564304
25,256,12800000,0.175210,4.194653,0.572115
26,256,12800000,0.169394,4.248888,0.579724
27,256,12800000,0.163732,4.302957,0.587363
28,256,12800000,0.158268,4.356249,0.595133
29,256,12800000,0.153038,4.409293,0.602645
30,256,12800000,0.148072,4.461562,0.610044
31,256,12800000,0.143366,4.513691,0.617327
32,256,12800000,0.138896,4.565286,0.624519
33,256,12800000,0.134403,4.616329,0.631904
34,256,12800000,0.130287,4.666556,0.638862
35,256,12800000,0.126324,4.715999,0.645877
36,256,12800000,0.122498,4.765086,0.652742
37,256,12800000,0.118865,4.813743,0.659683
38,256,12800000,0.115353,4.860807,0.666339
39,256,12800000,0.111985,4.908530,0.672927
40,256,12800000,0.108778,4.954034,0.679727
41,256,12800000,0.105677,5.000706,0.686058
42,256,12800000,0.102799,5.045326,0.692497
43,256,12800000,0.099967,5.091108,0.698873
44,256,12800000,0.097231,5.136426,0.705200
45,256,12800000,0.094569,5.179948,0.711710
46,256,12800000,0.091960,5.225116,0.717940
47,256,12800000,0.089498,5.269350,0.724288
48,256,12800000,0.087147,5.314129,0.730563
49,256,12800000,0.084695,5.359198,0.736977
50,256,12800000,0.082382,5.403717,0.743395
51,256,12800000,0.080170,5.447310,0.749782
52,256,12800000,0.077931,5.492387,0.756280
53,256,12800000,0.075868,5.536927,0.762682
54,256,12800000,0.073823,5.582136,0.769085
